estacion,no2,kmeans_k5,jerarquico_k5
4,30.873646209386283,0,5
8,35.15934065934066,2,3
11,32.11748633879781,0,5
16,24.63085399449036,4,2
17,31.40821917808219,0,5
18,27.325136612021858,4,4
24,16.393939393939394,3,1
27,27.14207650273224,4,4
35,29.475409836065573,0,5
36,29.366120218579233,0,5
38,30.24590163934426,0,5
39,27.12465373961219,4,4
40,28.87945205479452,0,5
47,26.57650273224044,4,4
48,27.603825136612024,4,4
49,21.442622950819672,1,2
50,27.918032786885245,4,4
54,30.52054794520548,0,5
55,27.332417582417584,4,4
56,40.56318681318681,2,3
57,23.5972602739726,1,2
58,12.961643835616439,3,1
59,19.31967213114754,1,2
60,26.216438356164385,4,4
