distrito,temperatura,superficie_ha
ARGANZUELA,17.701092896174863,0.0
BARAJAS,15.339071038251367,22.24
CARABANCHEL,16.73358466357221,29.12
CENTRO,16.249547008232874,0.0
CHAMARTIN,14.163157894736843,0.0
CHAMBERI,17.15001707650273,0.0
CIUDAD LINEAL,,14.82
FUENCARRAL-EL PARDO,14.247761274434353,91.61
HORTALEZA,14.588737201365188,78.42
MONCLOA-ARAVACA,14.762977320691453,60.12
MORATALAZ,14.466939890710382,10.25
PUENTE DE VALLECAS,17.55575699770933,68.76
SALAMANCA,16.564835164835166,0.24
VILLA DE VALLECAS,16.244657534246574,62.68
VILLAVERDE,13.642349726775958,40.02
