estacion,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
8,16.440625,0.0004450705021880642,1,4
18,16.395068493150685,0.020614570768642544,1,3
24,14.890517241379309,0.012842652421405521,3,3
36,15.479452054794521,0.016794557208060504,1,3
54,15.884931506849314,0.01219204816699018,1,3
56,16.261369863013698,0.020614570768642544,1,3
58,14.190909090909091,0.003830754447643954,3,4
59,14.925479452054795,0.005132281148551818,3,4
102,12.894794520547947,0.016794557208060504,0,2
103,13.267397260273974,0.019817450722716196,0,2
106,12.389136490250696,0.012842652421405521,0,2
107,13.221944444444443,0.027943109166043107,0,2
112,17.055769230769233,0.05236292589534318,2,1
113,17.38434782608696,0.05236292589534318,2,1
115,16.285049833887044,0.0049828417592269,1,4
