estacion,no2,kmeans_k5,jerarquico_k5
8,35.24512534818942,1,4
11,32.58516483516483,1,4
16,28.002747252747252,0,3
17,35.53168044077135,1,4
18,27.925414364640883,0,3
24,17.862068965517242,4,2
27,28.791780821917808,0,3
35,31.295890410958904,1,4
36,31.10164835164835,1,4
38,32.60055096418733,1,4
39,28.83013698630137,0,3
40,29.945205479452056,0,3
47,28.752808988764045,0,3
48,29.443835616438356,0,3
49,23.068870523415978,2,1
50,33.18956043956044,1,4
54,27.145205479452056,0,3
55,32.12777777777778,1,4
56,40.58082191780822,3,5
57,25.838356164383562,0,3
58,14.857534246575343,4,2
59,21.34246575342466,2,1
60,29.4027397260274,0,3
