estacion,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
8,16.440625,0.24,1,3
18,16.395068493150685,28.96,1,3
24,14.890517241379309,59.83,2,4
36,15.479452054794521,10.25,1,3
54,15.884931506849314,62.68,0,4
56,16.261369863013698,28.96,1,3
58,14.190909090909091,91.11,2,1
59,14.925479452054795,21.41,1,3
102,12.894794520547947,10.25,3,2
103,13.267397260273974,40.02,3,2
106,12.389136490250696,59.83,2,2
107,13.221944444444443,77.19,2,1
112,17.055769230769233,78.38,0,4
113,17.38434782608696,78.38,0,4
115,16.285049833887044,3.22,1,3
