,temperatura,altitud,kmeans_k4,jerarquico_k4
8,16.440625,672,3,2
18,16.395068493150685,625,1,4
24,14.890517241379309,645,3,2
35,16.595342465753426,660,3,2
36,15.479452054794521,671,3,2
38,15.997520661157026,699,3,2
54,15.884931506849314,628,1,4
56,16.261369863013698,605,1,4
58,14.190909090909091,611,2,3
59,14.925479452054795,660,3,2
102,12.894794520547947,686,0,1
103,13.267397260273974,595,2,3
106,12.389136490250696,586,2,3
107,13.221944444444443,706,0,1
109,17.39767441860465,681,3,2
110,16.773684210526316,645,3,2
112,17.055769230769233,607,1,4
113,17.38434782608696,607,1,4
115,16.285049833887044,571,1,4
