estacion,no2,kmeans_k5,jerarquico_k5
4,24.824175824175825,1,3
8,26.722991689750693,4,4
11,24.700831024930746,1,3
16,22.107142857142858,1,3
17,27.517906336088153,4,4
18,23.983471074380166,1,3
24,14.667597765363128,0,2
27,29.06611570247934,4,5
35,23.593922651933703,1,3
36,23.331491712707184,1,3
38,23.05263157894737,1,3
39,23.484764542936286,1,3
40,24.625,1,3
47,21.182825484764543,3,3
48,19.74585635359116,3,1
49,17.85,3,1
50,22.139275766016713,1,3
54,26.31955922865014,4,4
56,31.692957746478875,2,5
57,18.430939226519335,3,1
58,9.394366197183098,0,2
59,20.121883656509695,3,1
60,18.310249307479225,3,1
