estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,18.057784431137726,56.293413173652695,1,1
16,17.818507462686565,57.808955223880595,1,1
24,16.795495495495494,60.087087087087085,0,4
35,18.313173652694612,53.80538922155689,3,2
36,17.01801801801802,57.104790419161674,1,1
38,17.662874251497005,55.83532934131737,1,1
39,17.72289156626506,57.46084337349398,1,1
54,17.688358208955226,55.80597014925373,1,1
56,18.015223880597016,57.9134328358209,1,1
58,15.957492354740062,62.027522935779814,0,4
59,16.67283582089552,59.77014925373134,0,4
102,14.20089552238806,54.364179104477614,2,3
103,14.957728706624607,55.65615141955836,2,3
106,14.07078313253012,62.990990990990994,4,5
107,14.636253776435046,57.31117824773414,2,3
109,19.225846153846152,50.91384615384615,3,2
112,17.968730650154797,53.77089783281734,3,2
113,18.569113149847094,53.1651376146789,3,2
114,18.458803986710965,55.395348837209305,1,1
