estacion,no2,kmeans_k5,jerarquico_k5
4,27.442307692307693,2,3
8,35.24512534818942,0,4
11,32.58516483516483,0,4
16,28.002747252747252,2,3
17,35.53168044077135,0,4
18,27.925414364640883,2,3
24,17.862068965517242,3,2
27,28.791780821917808,2,3
35,31.295890410958904,0,4
36,31.10164835164835,0,4
38,32.60055096418733,0,4
39,28.83013698630137,2,3
40,29.945205479452056,2,3
47,28.752808988764045,2,3
48,29.443835616438356,2,3
49,23.068870523415978,1,1
50,33.18956043956044,0,4
54,27.145205479452056,2,3
55,32.12777777777778,0,4
56,40.58082191780822,4,5
57,25.838356164383562,2,3
58,14.857534246575343,3,2
59,21.34246575342466,1,1
60,29.4027397260274,2,3
