,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,17.26766917293233,0.012842652421405521,1,2
8,16.440625,0.0004450705021880642,1,2
18,16.395068493150685,0.020614570768642544,1,2
24,14.890517241379309,0.012842652421405521,1,2
36,15.479452054794521,0.016794557208060504,1,2
54,15.884931506849314,0.01219204816699018,1,2
56,16.261369863013698,0.020614570768642544,1,2
58,14.190909090909091,0.003830754447643954,1,2
59,14.925479452054795,0.005132281148551818,1,2
102,12.894794520547947,0.016794557208060504,0,4
103,13.267397260273974,0.019817450722716196,0,4
106,12.389136490250696,0.012842652421405521,0,4
107,13.221944444444443,0.027943109166043107,0,4
108,9.438197424892703,0.003830754447643954,3,3
112,17.055769230769233,0.05236292589534318,2,1
113,17.38434782608696,0.05236292589534318,2,1
114,9.870676691729322,0.0049828417592269,3,3
115,16.285049833887044,0.0049828417592269,1,2
