estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,16.440625,56.83428571428571,0,2
24,14.890517241379309,60.42816091954023,2,4
35,16.595342465753426,54.49315068493151,0,2
36,15.479452054794521,59.64109589041096,2,4
38,15.997520661157026,55.69972451790633,0,2
54,15.884931506849314,56.55068493150685,0,2
56,16.261369863013698,56.36164383561644,0,2
58,14.190909090909091,63.63835616438356,2,4
59,14.925479452054795,59.6,2,4
102,12.894794520547947,55.153424657534245,1,3
103,13.267397260273974,56.30684931506849,1,3
106,12.389136490250696,63.56545961002786,4,4
107,13.221944444444443,56.484057971014494,1,3
108,9.438197424892703,55.46351931330472,1,3
109,17.39767441860465,48.723837209302324,3,1
110,16.773684210526316,54.41812865497076,0,2
111,12.820496894409937,59.08074534161491,1,3
112,17.055769230769233,54.0,0,2
113,17.38434782608696,47.59130434782609,3,1
114,9.870676691729322,66.25563909774436,4,5
115,16.285049833887044,55.02325581395349,0,2
