,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,17.26766917293233,59.83,3,3
8,16.440625,0.24,1,1
18,16.395068493150685,28.96,1,1
24,14.890517241379309,59.83,3,3
36,15.479452054794521,10.25,1,1
54,15.884931506849314,62.68,3,3
56,16.261369863013698,28.96,1,1
58,14.190909090909091,91.11,0,4
59,14.925479452054795,21.41,1,1
102,12.894794520547947,10.25,2,2
103,13.267397260273974,40.02,2,4
106,12.389136490250696,59.83,0,4
107,13.221944444444443,77.19,0,4
108,9.438197424892703,91.11,0,4
112,17.055769230769233,78.38,3,3
113,17.38434782608696,78.38,3,3
114,9.870676691729322,3.22,2,2
115,16.285049833887044,3.22,1,1
