,temperatura,altitud,kmeans_k4,jerarquico_k4
4,17.26766917293233,637,0,2
8,16.440625,672,1,1
18,16.395068493150685,625,0,2
24,14.890517241379309,645,1,1
35,16.595342465753426,660,1,1
36,15.479452054794521,671,1,1
38,15.997520661157026,699,1,1
54,15.884931506849314,628,0,2
56,16.261369863013698,605,0,2
58,14.190909090909091,611,0,3
59,14.925479452054795,660,1,1
102,12.894794520547947,686,3,4
103,13.267397260273974,595,2,3
106,12.389136490250696,586,2,3
107,13.221944444444443,706,3,4
108,9.438197424892703,659,3,4
109,17.39767441860465,681,1,1
110,16.773684210526316,645,1,2
111,12.820496894409937,703,3,4
112,17.055769230769233,607,0,2
113,17.38434782608696,607,0,2
114,9.870676691729322,571,2,3
115,16.285049833887044,571,0,2
