estacion,no2,pm25,pm10,kmeans_k4,jerarquico_k4
8,35.24512534818942,8.720238095238095,17.946268656716416,2,1
24,17.862068965517242,9.764367816091953,18.70977011494253,3,3
38,32.60055096418733,8.899721448467966,16.42382271468144,2,1
47,28.752808988764045,10.414492753623188,17.674418604651162,1,2
48,29.443835616438356,10.180281690140845,17.772222222222222,1,2
50,33.18956043956044,10.36338028169014,20.530555555555555,0,4
56,40.58082191780822,10.388429752066116,16.994475138121548,1,2
57,25.838356164383562,9.045584045584045,16.597142857142856,2,1
