Año;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Paquete;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Empleados por Operador (Núm);Paquetes (Núm);Inversiones por Operador (Millones €);Gastos por Operador (Millones €)
2002;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;5192;;;
2002;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;4377;;;
2002;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;22726;;;
2002;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9140;;;
2002;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1834;;;
2002;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4266;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;2816,55;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;632,17;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;127,57;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;571,95;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;3702,7;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;154,65;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;251,88;;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;925,84;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;568,56;;;;
2002;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1129,98;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;13800,72;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;911,76;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;1212,49;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Otros servicios minoristas;N/A;Millones de euros;2005;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;5809,38;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía fija;N/A;Millones de euros;8458,59;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía móvil;N/A;Millones de euros;7467,9;;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1694,07;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;8243,99;;;;
2002;España;Servicio minorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;2126,34;;;;
2003;España;N/A;Datos generales;Gastos de explotación;DTS;N/A;N/A;Millones de euros;;;;;;7,17
2003;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;3,93
2003;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;261,14
2003;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;26,73
2003;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;64,2
2003;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;122,7
2003;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;104,75
2003;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;4547,61;
2003;España;N/A;Datos generales;Número de empleados;Movistar;N/A;N/A;Unidades;;;41111;;;
2003;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;4360;;;
2003;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;3813;;;
2003;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;23258;;;
2003;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9259;;;
2003;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1989;;;
2003;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4436;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;3529,53;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;580,46;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;271,41;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;1415,57;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;3810,72;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Otros servicios mayoristas;N/A;Millones de euros;320,01;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;253,22;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;224,73;;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1052,46;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;1089,58;;;;
2003;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1204,56;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;15211,16;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;1265,79;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda Ancha móvil;N/A;Millones de euros;49,8;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;1225,81;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Otros servicios minoristas;N/A;Millones de euros;2711,47;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;4683,52;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios de información telefónica;N/A;Millones de euros;34,98;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía fija;N/A;Millones de euros;8206,97;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía móvil;N/A;Millones de euros;8841,67;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;N/A;Venta y alquiler de terminales;N/A;Millones de euros;750,32;;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;2377,51;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;7399,41;;;;
2003;España;Servicio minorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;2782,26;;;;
2004;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;6,06
2004;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;316,64
2004;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;48,46
