cod-ca;ca;cod-prov;prov;ano;mes;form-soc;num-con;capt-suscr-con;capt-desem-con
12;Galicia;32;Ourense;2011;1;SL;28;260130;260130
03;Principado de Asturias;33;Asturias;2011;1;SL;107;10526831;10526831
07;Castilla y León;34;Palencia;2011;1;SL;10;62746;62746
05;Canarias;35;Palmas, Las;2011;1;SL;114;1795093;1795093
12;Galicia;36;Pontevedra;2011;1;SL;135;10200695;10200695
07;Castilla y León;37;Salamanca;2011;1;SL;42;253689;253689
05;Canarias;38;Santa Cruz de Tenerife;2011;1;SL;129;3974429;3974429
06;Cantabria;39;Cantabria;2011;1;SL;71;937373;937373
07;Castilla y León;40;Segovia;2011;1;SL;12;1222711;1222711
01;Andalucía;41;Sevilla;2011;1;SL;292;12319150;12319150
07;Castilla y León;42;Soria;2011;1;SL;6;46101;46101
09;Cataluña;43;Tarragona;2011;1;SL;84;2777698;2777698
02;Aragón;44;Teruel;2011;1;SL;18;1613408;1613408
08;Castilla-La Mancha;45;Toledo;2011;1;SL;78;1629646;1629646
10;Comunitat Valenciana;46;València / Valencia;2011;1;SL;336;8825799;8825799
07;Castilla y León;47;Valladolid;2011;1;SL;53;4470794;4470794
16;País Vasco;48;Bizkaia;2011;1;SL;168;9853164;9853164
07;Castilla y León;49;Zamora;2011;1;SL;10;51133;51133
02;Aragón;50;Zaragoza;2011;1;SL;99;14355730;14355730
18;Ceuta;51;Ceuta;2011;1;SL;7;48126;48126
19;Melilla;52;Melilla;2011;1;SL;9;254480;254480
16;País Vasco;01;Araba / Álava;2011;1;Otras;1;3012;3012
08;Castilla-La Mancha;02;Albacete;2011;1;Otras;0;0;0
10;Comunitat Valenciana;03;Alacant / Alicante;2011;1;Otras;4;5000;5000
01;Andalucía;04;Almería;2011;1;Otras;1;1000;1000
07;Castilla y León;05;Ávila;2011;1;Otras;0;0;0
11;Extremadura;06;Badajoz;2011;1;Otras;0;0;0
04;Illes Balears;07;Illes Balears;2011;1;Otras;0;0;0
09;Cataluña;08;Barcelona;2011;1;Otras;15;555600;200000
07;Castilla y León;09;Burgos;2011;1;Otras;0;0;0
11;Extremadura;10;Cáceres;2011;1;Otras;0;0;0
01;Andalucía;11;Cádiz;2011;1;Otras;1;0;0
10;Comunitat Valenciana;12;Castelló / Castellón;2011;1;Otras;0;0;0
08;Castilla-La Mancha;13;Ciudad Real;2011;1;Otras;0;0;0
01;Andalucía;14;Córdoba;2011;1;Otras;1;9090;9090
12;Galicia;15;Coruña, A;2011;1;Otras;0;0;0
08;Castilla-La Mancha;16;Cuenca;2011;1;Otras;0;0;0
09;Cataluña;17;Girona;2011;1;Otras;1;12000;12000
01;Andalucía;18;Granada;2011;1;Otras;0;0;0
08;Castilla-La Mancha;19;Guadalajara;2011;1;Otras;0;0;0
16;País Vasco;20;Gipuzkoa;2011;1;Otras;2;3000;3000
01;Andalucía;21;Huelva;2011;1;Otras;0;0;0
02;Aragón;22;Huesca;2011;1;Otras;0;0;0
01;Andalucía;23;Jaén;2011;1;Otras;0;0;0
07;Castilla y León;24;León;2011;1;Otras;0;0;0
09;Cataluña;25;Lleida;2011;1;Otras;0;0;0
17;La Rioja;26;Rioja, La;2011;1;Otras;0;0;0
12;Galicia;27;Lugo;2011;1;Otras;0;0;0
13;Comunidad de Madrid;28;Madrid;2011;1;Otras;10;1618616;1618616
01;Andalucía;29;Málaga;2011;1;Otras;1;3010;3010
14;Región de Murcia;30;Murcia;2011;1;Otras;0;0;0
15;C. Foral de Navarra;31;Navarra;2011;1;Otras;0;0;0
12;Galicia;32;Ourense;2011;1;Otras;0;0;0
03;Principado de Asturias;33;Asturias;2011;1;Otras;1;10000;10000
07;Castilla y León;34;Palencia;2011;1;Otras;0;0;0
05;Canarias;35;Palmas, Las;2011;1;Otras;3;4064;4064
12;Galicia;36;Pontevedra;2011;1;Otras;0;0;0
07;Castilla y León;37;Salamanca;2011;1;Otras;0;0;0
05;Canarias;38;Santa Cruz de Tenerife;2011;1;Otras;0;0;0
06;Cantabria;39;Cantabria;2011;1;Otras;1;2241150;2241150
07;Castilla y León;40;Segovia;2011;1;Otras;0;0;0
01;Andalucía;41;Sevilla;2011;1;Otras;3;16000;16000
07;Castilla y León;42;Soria;2011;1;Otras;0;0;0
09;Cataluña;43;Tarragona;2011;1;Otras;0;0;0
02;Aragón;44;Teruel;2011;1;Otras;0;0;0
08;Castilla-La Mancha;45;Toledo;2011;1;Otras;0;0;0
10;Comunitat Valenciana;46;València / Valencia;2011;1;Otras;1;100000;100000
07;Castilla y León;47;Valladolid;2011;1;Otras;0;0;0
16;País Vasco;48;Bizkaia;2011;1;Otras;0;0;0
07;Castilla y León;49;Zamora;2011;1;Otras;0;0;0
02;Aragón;50;Zaragoza;2011;1;Otras;0;0;0
18;Ceuta;51;Ceuta;2011;1;Otras;0;0;0
19;Melilla;52;Melilla;2011;1;Otras;0;0;0
16;País Vasco;01;Araba / Álava;2011;2;SA;1;600000;600000
08;Castilla-La Mancha;02;Albacete;2011;2;SA;0;0;0
10;Comunitat Valenciana;03;Alacant / Alicante;2011;2;SA;1;60000;15000
01;Andalucía;04;Almería;2011;2;SA;0;0;0
07;Castilla y León;05;Ávila;2011;2;SA;0;0;0
11;Extremadura;06;Badajoz;2011;2;SA;0;0;0
04;Illes Balears;07;Illes Balears;2011;2;SA;3;326000;276500
09;Cataluña;08;Barcelona;2011;2;SA;7;1119150;939150
07;Castilla y León;09;Burgos;2011;2;SA;0;0;0
11;Extremadura;10;Cáceres;2011;2;SA;0;0;0
01;Andalucía;11;Cádiz;2011;2;SA;2;120000;120000
10;Comunitat Valenciana;12;Castelló / Castellón;2011;2;SA;0;0;0
08;Castilla-La Mancha;13;Ciudad Real;2011;2;SA;0;0;0
01;Andalucía;14;Córdoba;2011;2;SA;1;60101;60101
12;Galicia;15;Coruña, A;2011;2;SA;1;60582;15146
08;Castilla-La Mancha;16;Cuenca;2011;2;SA;0;0;0
09;Cataluña;17;Girona;2011;2;SA;0;0;0
01;Andalucía;18;Granada;2011;2;SA;1;61000;61000
08;Castilla-La Mancha;19;Guadalajara;2011;2;SA;1;1000000;1000000
16;País Vasco;20;Gipuzkoa;2011;2;SA;0;0;0
01;Andalucía;21;Huelva;2011;2;SA;0;0;0
02;Aragón;22;Huesca;2011;2;SA;0;0;0
01;Andalucía;23;Jaén;2011;2;SA;1;60100;60100
07;Castilla y León;24;León;2011;2;SA;0;0;0
09;Cataluña;25;Lleida;2011;2;SA;0;0;0
17;La Rioja;26;Rioja, La;2011;2;SA;0;0;0
12;Galicia;27;Lugo;2011;2;SA;0;0;0
13;Comunidad de Madrid;28;Madrid;2011;2;SA;17;12206400;11271400
01;Andalucía;29;Málaga;2011;2;SA;4;240320;150320
14;Región de Murcia;30;Murcia;2011;2;SA;0;0;0
15;C. Foral de Navarra;31;Navarra;2011;2;SA;0;0;0
12;Galicia;32;Ourense;2011;2;SA;0;0;0
03;Principado de Asturias;33;Asturias;2011;2;SA;1;1000000;1000000
07;Castilla y León;34;Palencia;2011;2;SA;0;0;0
05;Canarias;35;Palmas, Las;2011;2;SA;1;60000;15000
12;Galicia;36;Pontevedra;2011;2;SA;0;0;0
07;Castilla y León;37;Salamanca;2011;2;SA;0;0;0
05;Canarias;38;Santa Cruz de Tenerife;2011;2;SA;2;121000;121000
06;Cantabria;39;Cantabria;2011;2;SA;1;60000;60000
07;Castilla y León;40;Segovia;2011;2;SA;0;0;0
01;Andalucía;41;Sevilla;2011;2;SA;0;0;0
07;Castilla y León;42;Soria;2011;2;SA;0;0;0
09;Cataluña;43;Tarragona;2011;2;SA;1;60120;60120
02;Aragón;44;Teruel;2011;2;SA;0;0;0
08;Castilla-La Mancha;45;Toledo;2011;2;SA;0;0;0
10;Comunitat Valenciana;46;València / Valencia;2011;2;SA;4;1530100;830050
07;Castilla y León;47;Valladolid;2011;2;SA;0;0;0
16;País Vasco;48;Bizkaia;2011;2;SA;2;990300;990300
07;Castilla y León;49;Zamora;2011;2;SA;0;0;0
02;Aragón;50;Zaragoza;2011;2;SA;1;60100;15025
18;Ceuta;51;Ceuta;2011;2;SA;0;0;0
19;Melilla;52;Melilla;2011;2;SA;0;0;0
16;País Vasco;01;Araba / Álava;2011;2;SL;55;1445753;1445753
08;Castilla-La Mancha;02;Albacete;2011;2;SL;53;989925;989925
10;Comunitat Valenciana;03;Alacant / Alicante;2011;2;SL;359;4573590;4573590
01;Andalucía;04;Almería;2011;2;SL;117;2440254;2440254
07;Castilla y León;05;Ávila;2011;2;SL;19;293883;293883
11;Extremadura;06;Badajoz;2011;2;SL;93;2150577;2150577
04;Illes Balears;07;Illes Balears;2011;2;SL;215;4100627;4100627
09;Cataluña;08;Barcelona;2011;2;SL;1126;35878948;35878948
07;Castilla y León;09;Burgos;2011;2;SL;50;989391;989391
11;Extremadura;10;Cáceres;2011;2;SL;30;4171288;4171288
01;Andalucía;11;Cádiz;2011;2;SL;119;4115595;4115595
10;Comunitat Valenciana;12;Castelló / Castellón;2011;2;SL;82;4392492;4392492
08;Castilla-La Mancha;13;Ciudad Real;2011;2;SL;51;1559687;1559687
01;Andalucía;14;Córdoba;2011;2;SL;86;3193358;3193358
12;Galicia;15;Coruña, A;2011;2;SL;147;3638957;3638957
08;Castilla-La Mancha;16;Cuenca;2011;2;SL;30;300979;300979
09;Cataluña;17;Girona;2011;2;SL;150;5189198;5189198
01;Andalucía;18;Granada;2011;2;SL;114;982654;982654
08;Castilla-La Mancha;19;Guadalajara;2011;2;SL;29;542845;542845
16;País Vasco;20;Gipuzkoa;2011;2;SL;102;2509729;2509729
01;Andalucía;21;Huelva;2011;2;SL;51;1268289;1268289
02;Aragón;22;Huesca;2011;2;SL;32;674337;674337
01;Andalucía;23;Jaén;2011;2;SL;51;1605603;1605603
07;Castilla y León;24;León;2011;2;SL;52;2297526;2297526
09;Cataluña;25;Lleida;2011;2;SL;67;1841205;1841205
17;La Rioja;26;Rioja, La;2011;2;SL;39;1099944;1099944
12;Galicia;27;Lugo;2011;2;SL;44;913139;913139
13;Comunidad de Madrid;28;Madrid;2011;2;SL;1744;139828381;139828381
01;Andalucía;29;Málaga;2011;2;SL;364;10867739;10867739
14;Región de Murcia;30;Murcia;2011;2;SL;246;5553876;5553876
15;C. Foral de Navarra;31;Navarra;2011;2;SL;105;2784505;2784505
12;Galicia;32;Ourense;2011;2;SL;37;270413;270413
03;Principado de Asturias;33;Asturias;2011;2;SL;117;1706196;1706196
07;Castilla y León;34;Palencia;2011;2;SL;10;35626;35626
05;Canarias;35;Palmas, Las;2011;2;SL;141;996646;996646
12;Galicia;36;Pontevedra;2011;2;SL;170;11280512;11280512
07;Castilla y León;37;Salamanca;2011;2;SL;30;734152;734152
05;Canarias;38;Santa Cruz de Tenerife;2011;2;SL;128;2185496;2185496
06;Cantabria;39;Cantabria;2011;2;SL;78;1985615;1985615
07;Castilla y León;40;Segovia;2011;2;SL;12;196606;196606
01;Andalucía;41;Sevilla;2011;2;SL;297;10957711;10957711
07;Castilla y León;42;Soria;2011;2;SL;14;3148140;3148140
09;Cataluña;43;Tarragona;2011;2;SL;135;3503566;3503566
02;Aragón;44;Teruel;2011;2;SL;12;545430;545430
08;Castilla-La Mancha;45;Toledo;2011;2;SL;81;1363116;1363116
10;Comunitat Valenciana;46;València / Valencia;2011;2;SL;403;11568949;11568949
07;Castilla y León;47;Valladolid;2011;2;SL;62;6066548;6066548
16;País Vasco;48;Bizkaia;2011;2;SL;147;4893301;4893301
07;Castilla y León;49;Zamora;2011;2;SL;16;158635;158635
02;Aragón;50;Zaragoza;2011;2;SL;141;8006807;8006807
18;Ceuta;51;Ceuta;2011;2;SL;5;18200;18200
19;Melilla;52;Melilla;2011;2;SL;6;104300;104300
16;País Vasco;01;Araba / Álava;2011;2;Otras;0;0;0
08;Castilla-La Mancha;02;Albacete;2011;2;Otras;0;0;0
10;Comunitat Valenciana;03;Alacant / Alicante;2011;2;Otras;1;0;0
01;Andalucía;04;Almería;2011;2;Otras;0;0;0
07;Castilla y León;05;Ávila;2011;2;Otras;0;0;0
11;Extremadura;06;Badajoz;2011;2;Otras;1;500;500
04;Illes Balears;07;Illes Balears;2011;2;Otras;1;4000;4000
09;Cataluña;08;Barcelona;2011;2;Otras;7;101152;101152
07;Castilla y León;09;Burgos;2011;2;Otras;0;0;0
11;Extremadura;10;Cáceres;2011;2;Otras;1;0;0
01;Andalucía;11;Cádiz;2011;2;Otras;0;0;0
10;Comunitat Valenciana;12;Castelló / Castellón;2011;2;Otras;0;0;0
08;Castilla-La Mancha;13;Ciudad Real;2011;2;Otras;0;0;0
01;Andalucía;14;Córdoba;2011;2;Otras;2;5000;5000
12;Galicia;15;Coruña, A;2011;2;Otras;0;0;0
08;Castilla-La Mancha;16;Cuenca;2011;2;Otras;0;0;0
09;Cataluña;17;Girona;2011;2;Otras;0;0;0
01;Andalucía;18;Granada;2011;2;Otras;0;0;0
08;Castilla-La Mancha;19;Guadalajara;2011;2;Otras;0;0;0
16;País Vasco;20;Gipuzkoa;2011;2;Otras;0;0;0
01;Andalucía;21;Huelva;2011;2;Otras;0;0;0
02;Aragón;22;Huesca;2011;2;Otras;2;1013274;1013274
01;Andalucía;23;Jaén;2011;2;Otras;0;0;0
07;Castilla y León;24;León;2011;2;Otras;0;0;0
09;Cataluña;25;Lleida;2011;2;Otras;0;0;0
17;La Rioja;26;Rioja, La;2011;2;Otras;1;0;0
12;Galicia;27;Lugo;2011;2;Otras;0;0;0
13;Comunidad de Madrid;28;Madrid;2011;2;Otras;5;8500;8500
01;Andalucía;29;Málaga;2011;2;Otras;0;0;0
14;Región de Murcia;30;Murcia;2011;2;Otras;5;0;0
15;C. Foral de Navarra;31;Navarra;2011;2;Otras;0;0;0
12;Galicia;32;Ourense;2011;2;Otras;0;0;0
03;Principado de Asturias;33;Asturias;2011;2;Otras;1;600;600
07;Castilla y León;34;Palencia;2011;2;Otras;0;0;0
05;Canarias;35;Palmas, Las;2011;2;Otras;1;12500;12500
12;Galicia;36;Pontevedra;2011;2;Otras;0;0;0
07;Castilla y León;37;Salamanca;2011;2;Otras;0;0;0
05;Canarias;38;Santa Cruz de Tenerife;2011;2;Otras;3;4000;4000
06;Cantabria;39;Cantabria;2011;2;Otras;0;0;0
07;Castilla y León;40;Segovia;2011;2;Otras;0;0;0
01;Andalucía;41;Sevilla;2011;2;Otras;6;15000;15000
07;Castilla y León;42;Soria;2011;2;Otras;1;3010;3010
09;Cataluña;43;Tarragona;2011;2;Otras;1;60000;60000
02;Aragón;44;Teruel;2011;2;Otras;0;0;0
08;Castilla-La Mancha;45;Toledo;2011;2;Otras;0;0;0
10;Comunitat Valenciana;46;València / Valencia;2011;2;Otras;4;7036;7036
07;Castilla y León;47;Valladolid;2011;2;Otras;1;2000;2000
16;País Vasco;48;Bizkaia;2011;2;Otras;1;3000;3000
07;Castilla y León;49;Zamora;2011;2;Otras;0;0;0
02;Aragón;50;Zaragoza;2011;2;Otras;4;46800;46800
18;Ceuta;51;Ceuta;2011;2;Otras;0;0;0
19;Melilla;52;Melilla;2011;2;Otras;0;0;0
16;País Vasco;01;Araba / Álava;2011;3;SA;3;5360000;2135000
08;Castilla-La Mancha;02;Albacete;2011;3;SA;0;0;0
10;Comunitat Valenciana;03;Alacant / Alicante;2011;3;SA;1;200000;200000
01;Andalucía;04;Almería;2011;3;SA;0;0;0
07;Castilla y León;05;Ávila;2011;3;SA;0;0;0
11;Extremadura;06;Badajoz;2011;3;SA;0;0;0
04;Illes Balears;07;Illes Balears;2011;3;SA;1;60000;16500
09;Cataluña;08;Barcelona;2011;3;SA;4;370200;325200
07;Castilla y León;09;Burgos;2011;3;SA;0;0;0
11;Extremadura;10;Cáceres;2011;3;SA;0;0;0
01;Andalucía;11;Cádiz;2011;3;SA;0;0;0
10;Comunitat Valenciana;12;Castelló / Castellón;2011;3;SA;0;0;0
08;Castilla-La Mancha;13;Ciudad Real;2011;3;SA;1;100000;100000
01;Andalucía;14;Córdoba;2011;3;SA;0;0;0
12;Galicia;15;Coruña, A;2011;3;SA;1;60800;60800
