estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,16.564835164835166,58.28021978021978,3,4
24,15.391184573002755,62.162534435261705,3,1
35,16.90139664804469,56.252747252747255,1,4
36,15.834426229508196,61.16393442622951,3,1
38,16.356284153005465,57.423497267759565,3,4
54,16.244657534246574,58.12054794520548,3,4
56,16.558402203856748,58.032967032967036,3,4
58,14.78821917808219,64.83561643835617,3,1
59,15.339071038251367,60.7896174863388,3,1
102,13.099453551912568,57.56284153005465,0,2
103,13.642349726775958,58.278688524590166,0,2
106,11.77737003058104,67.66055045871559,4,3
108,13.707303370786518,38.83426966292135,2,5
109,17.943749999999998,53.03693181818182,1,4
110,15.597697368421052,59.23026315789474,3,1
112,17.773352435530086,54.44699140401146,1,4
113,17.33816155988858,54.5933147632312,1,4
114,18.2844262295082,53.505464480874316,1,4
115,17.11775956284153,57.39617486338798,1,4
