,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
8,16.564835164835166,0.24,1,3
18,16.90876712328767,29.12,1,3
24,15.391184573002755,60.12,2,2
36,15.834426229508196,10.25,1,3
54,16.244657534246574,62.68,2,2
56,16.558402203856748,29.12,1,3
58,14.78821917808219,91.61,0,1
59,15.339071038251367,22.24,1,3
102,13.099453551912568,10.25,3,4
103,13.642349726775958,40.02,3,4
106,11.77737003058104,60.12,3,4
108,13.707303370786518,91.61,0,1
112,17.773352435530086,68.76,2,2
113,17.33816155988858,68.76,2,2
