estacion,no2,kmeans_k5,jerarquico_k5
8,35.15934065934066,2,3
11,32.11748633879781,3,5
16,24.63085399449036,0,2
17,31.40821917808219,3,5
18,27.325136612021858,0,4
24,16.393939393939394,1,1
27,27.14207650273224,0,4
35,29.475409836065573,3,5
36,29.366120218579233,3,5
38,30.24590163934426,3,5
39,27.12465373961219,0,4
40,28.87945205479452,3,5
47,26.57650273224044,0,4
48,27.603825136612024,0,4
49,21.442622950819672,4,2
50,27.918032786885245,0,4
54,30.52054794520548,3,5
55,27.332417582417584,0,4
56,40.56318681318681,2,3
57,23.5972602739726,4,2
58,12.961643835616439,1,1
59,19.31967213114754,4,2
60,26.216438356164385,0,4
