,temperatura,altitud,kmeans_k4,jerarquico_k4
8,17.709695290858726,672,1,1
18,16.948033707865168,625,2,3
24,16.261878453038676,645,3,2
35,18.131024930747923,660,1,1
36,16.76798866855524,671,3,2
38,17.383287671232875,699,1,1
39,17.311780821917807,675,1,1
54,17.089226519337018,628,2,3
56,17.06904109589041,605,2,3
58,16.013333333333332,611,0,4
59,16.23939393939394,660,3,2
