estacion,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
8,17.709695290858726,0.24,3,2
18,16.948033707865168,24.31,1,1
24,16.261878453038676,59.83,2,4
36,16.76798866855524,10.25,1,1
39,17.311780821917807,94.92,0,3
54,17.089226519337018,94.29,0,3
56,17.06904109589041,24.31,1,1
58,16.013333333333332,94.92,2,4
59,16.23939393939394,20.33,1,1
