,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,17.02644628099174,62.66,0,3
8,17.621098265895952,0.24,1,4
16,17.21222222222222,11.28,1,4
18,17.343131868131866,26.33,1,4
24,16.114804469273743,62.66,0,3
36,16.295303867403312,10.25,1,4
39,16.97562326869806,102.88,0,3
54,17.013774104683197,94.29,0,3
56,17.290304709141274,26.33,1,4
58,14.864066852367687,102.88,2,1
59,15.881542699724518,14.99,1,4
102,13.263461538461538,10.25,3,2
103,14.046648044692738,43.1,3,2
106,13.229213483146069,62.66,3,2
107,14.43044776119403,47.4,3,2
108,14.117582417582419,102.88,2,1
112,17.130555555555556,78.74,0,3
113,18.042331288343558,78.74,0,3
114,17.78276923076923,3.22,1,4
115,17.06996996996997,3.22,1,4
