estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,17.621098265895952,56.64739884393064,1,3
16,17.21222222222222,58.35,1,3
24,16.114804469273743,61.30446927374302,0,2
35,17.567032967032965,54.72527472527472,1,3
36,16.295303867403312,57.67955801104972,1,3
38,16.867127071823205,57.29834254143646,1,3
39,16.97562326869806,58.398891966759,1,3
54,17.013774104683197,56.28650137741047,1,3
56,17.290304709141274,57.10526315789474,1,3
58,14.864066852367687,67.14450867052022,4,5
59,15.881542699724518,59.48199445983379,0,2
102,13.263461538461538,55.717032967032964,2,4
103,14.046648044692738,57.41899441340782,2,4
106,13.229213483146069,64.43977591036415,4,5
107,14.43044776119403,57.713432835820896,2,4
108,14.117582417582419,55.332417582417584,2,4
109,18.657615894039736,51.77814569536424,3,1
110,16.823214285714286,55.404761904761905,1,3
111,17.104848484848485,52.836363636363636,3,3
112,17.130555555555556,55.27777777777778,1,3
113,18.042331288343558,51.1992337164751,3,1
114,17.78276923076923,56.91076923076923,1,3
115,17.06996996996997,57.003003003003,1,3
