,temperatura,altitud,kmeans_k4,jerarquico_k4
4,17.02644628099174,637,1,3
8,17.621098265895952,672,0,4
16,17.21222222222222,695,0,4
18,17.343131868131866,625,1,3
24,16.114804469273743,645,0,4
35,17.567032967032965,660,0,4
36,16.295303867403312,671,0,4
38,16.867127071823205,699,0,4
39,16.97562326869806,675,0,4
54,17.013774104683197,628,1,3
56,17.290304709141274,605,1,3
58,14.864066852367687,611,2,2
59,15.881542699724518,660,0,4
102,13.263461538461538,686,3,1
103,14.046648044692738,595,2,2
106,13.229213483146069,586,2,2
107,14.43044776119403,706,3,1
108,14.117582417582419,659,3,1
109,18.657615894039736,681,0,4
110,16.823214285714286,645,0,4
111,17.104848484848485,703,0,4
112,17.130555555555556,607,1,3
113,18.042331288343558,607,1,3
114,17.78276923076923,571,1,3
115,17.06996996996997,571,1,3
