distrito,temperatura,superficie_ha
ARGANZUELA,17.4263696003696,3.22
BARAJAS,15.881542699724518,14.99
CARABANCHEL,17.316718288636572,26.33
CENTRO,17.195123626373626,0.0
CHAMARTIN,17.104848484848485,0.0
CHAMBERI,17.76237148293147,0.0
CIUDAD LINEAL,17.21222222222222,11.28
FUENCARRAL-EL PARDO,15.319090846216056,102.88
HORTALEZA,14.43044776119403,47.4
MONCLOA-ARAVACA,15.456821411137184,62.66
MORATALAZ,14.779382702932425,10.25
PUENTE DE VALLECAS,17.586443421949557,78.74
SALAMANCA,17.621098265895952,0.24
VILLA DE VALLECAS,17.013774104683197,94.29
VILLAVERDE,14.046648044692738,43.1
