estacion,no2,pm25,pm10,kmeans_k4,jerarquico_k4
8,32.66483516483517,9.51388888888889,20.54494382022472,2,3
24,16.0,7.664739884393064,15.862464183381089,3,1
38,29.274725274725274,9.831932773109244,18.92737430167598,0,2
47,28.041208791208792,9.285310734463277,18.213675213675213,0,2
48,28.81095890410959,10.091988130563799,17.520833333333332,0,2
50,30.378082191780823,8.129577464788733,18.896358543417367,2,3
56,36.12602739726027,12.25,23.366197183098592,1,4
57,23.91160220994475,8.491620111731844,15.445378151260504,3,1
