,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,16.783835616438356,0.012846945469181355,1,2
8,17.223415977961434,0.0004450705021880642,2,2
16,16.94630136986301,0.01275197852743129,1,2
18,17.228925619834712,0.018713987068633028,1,2
24,15.84388888888889,0.012846945469181355,1,2
36,16.306301369863014,0.016794557208060504,1,2
39,16.939226519337016,0.004063265391508196,2,2
54,16.823076923076925,0.01834059064558877,1,2
56,17.06821917808219,0.018713987068633028,1,2
58,15.041483516483517,0.004063265391508196,3,4
59,15.938292011019286,0.00415424718843545,1,4
102,13.517534246575341,0.016794557208060504,3,3
103,13.989835164835165,0.0213426318378078,3,3
106,13.41047619047619,0.012846945469181355,3,3
107,14.221246458923513,0.019370848185969253,3,3
108,14.505753424657534,0.004063265391508196,3,4
112,17.596944444444443,0.05252326146838328,0,1
113,18.203254437869823,0.05252326146838328,0,1
114,17.364245810055866,0.0049828417592269,2,2
115,18.833893557422968,0.0049828417592269,2,2
