estacion,temperatura,altitud,kmeans_k4,jerarquico_k4
4,16.783835616438356,637,3,4
8,17.223415977961434,672,3,4
16,16.94630136986301,695,3,4
18,17.228925619834712,625,1,4
24,15.84388888888889,645,3,4
36,16.306301369863014,671,3,4
38,16.873684210526314,699,3,4
39,16.939226519337016,675,3,4
54,16.823076923076925,628,1,4
56,17.06821917808219,605,1,3
58,15.041483516483517,611,2,2
59,15.938292011019286,660,3,4
102,13.517534246575341,686,0,1
103,13.989835164835165,595,2,2
106,13.41047619047619,586,2,2
107,14.221246458923513,706,0,1
108,14.505753424657534,659,0,1
110,16.91983002832861,645,3,4
111,17.04673202614379,703,3,4
112,17.596944444444443,607,1,3
113,18.203254437869823,607,1,3
114,17.364245810055866,571,1,3
115,18.833893557422968,571,1,3
