estacion,no2,kmeans_k5,jerarquico_k5
4,22.55255255255255,0,2
8,25.809667673716014,2,3
11,25.322388059701492,4,3
16,19.707462686567165,3,5
17,27.03283582089552,2,1
18,24.36858006042296,4,3
24,13.963855421686747,1,4
27,26.601796407185628,2,1
35,23.795180722891565,4,3
36,24.28955223880597,4,3
38,24.44578313253012,4,3
39,23.789156626506024,4,3
40,26.273273273273272,2,1
47,18.45671641791045,3,5
48,20.928358208955224,0,2
49,13.29129129129129,1,4
50,24.51641791044776,4,3
54,24.844776119402987,4,3
55,16.56969696969697,3,5
56,28.982089552238804,2,1
57,18.895522388059703,3,5
58,11.170212765957446,1,4
59,19.065671641791045,3,5
60,18.17117117117117,3,5
