estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,18.057784431137726,56.293413173652695,1,1
16,17.818507462686565,57.808955223880595,3,1
24,16.795495495495494,60.087087087087085,3,4
35,18.313173652694612,53.80538922155689,1,2
36,17.01801801801802,57.104790419161674,3,1
38,17.662874251497005,55.83532934131737,1,1
39,17.72289156626506,57.46084337349398,3,1
54,17.688358208955226,55.80597014925373,1,1
56,18.015223880597016,57.9134328358209,3,1
58,15.957492354740062,62.027522935779814,0,4
59,16.67283582089552,59.77014925373134,3,4
102,14.20089552238806,54.364179104477614,2,3
103,14.957728706624607,55.65615141955836,2,3
106,14.07078313253012,62.990990990990994,0,5
107,14.636253776435046,57.31117824773414,2,3
108,15.291317365269462,52.529411764705884,2,3
109,19.225846153846152,50.91384615384615,4,2
110,17.803355704697985,54.08724832214765,1,2
111,18.633676975945015,49.4639175257732,4,2
112,17.968730650154797,53.77089783281734,1,2
113,18.569113149847094,53.1651376146789,1,2
114,18.458803986710965,55.395348837209305,1,1
115,18.83993288590604,54.09731543624161,1,2
