,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,16.118406593406593,0.012905215081771077,2,3
8,15.919770773638968,0.0004462573907971915,2,3
18,16.846703296703296,0.020742795420418146,2,3
24,15.549720670391062,0.012905215081771077,2,3
36,15.755890410958903,0.016789484661926053,2,3
54,16.216438356164385,0.01235003751214737,2,3
56,16.41939058171745,0.020742795420418146,2,3
58,14.63178082191781,0.00385891374672599,2,3
59,14.79396551724138,0.005332021215167651,2,3
102,13.095068493150684,0.016789484661926053,0,2
103,13.711602209944752,0.020125161623173602,0,2
104,6.423076923076923,0.045924059415182884,3,4
106,13.16991643454039,0.012905215081771077,0,2
107,13.832872928176796,0.029143906437792407,0,2
108,13.761643835616438,0.00385891374672599,2,3
112,17.592178770949722,0.045924059415182884,1,1
113,17.34054794520548,0.045924059415182884,1,1
