estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,15.919770773638968,52.29226361031519,1,2
24,15.549720670391062,55.37604456824513,3,2
35,17.03565459610028,49.4958217270195,4,3
36,15.755890410958903,54.42191780821918,1,2
38,15.849856733524357,51.93696275071633,1,2
54,16.216438356164385,51.657534246575345,1,2
56,16.41939058171745,51.933518005540165,1,2
58,14.63178082191781,58.082191780821915,3,1
59,14.79396551724138,55.20977011494253,3,2
102,13.095068493150684,50.912328767123284,1,2
103,13.711602209944752,52.052486187845304,1,2
104,6.423076923076923,61.5,0,5
106,13.16991643454039,58.16713091922006,3,1
107,13.832872928176796,51.98066298342541,1,2
108,13.761643835616438,39.93698630136986,2,4
109,17.925619834710744,46.790633608815426,4,3
110,16.532203389830507,50.74576271186441,1,3
111,16.81700288184438,49.34005763688761,4,3
112,17.592178770949722,48.96927374301676,4,3
113,17.34054794520548,48.18904109589041,4,3
114,18.29041095890411,47.75616438356165,4,3
115,16.462908011869438,52.85756676557863,1,2
