,temperatura,superficie_ha,kmeans_k4,jerarquico_k4
4,16.118406593406593,60.12146035,1,2
8,15.919770773638968,0.2406400183,0,1
18,16.846703296703296,29.14013404,0,1
24,15.549720670391062,60.12146035,1,2
36,15.755890410958903,10.24690414,0,1
54,16.216438356164385,63.49223204,1,2
56,16.41939058171745,29.14013404,0,1
58,14.63178082191781,91.77973589,3,3
59,14.79396551724138,22.243242509999998,0,1
102,13.095068493150684,10.24690414,0,1
103,13.711602209944752,40.64140133,0,3
104,6.423076923076923,68.74191454000001,2,4
106,13.16991643454039,60.12146035,3,3
107,13.832872928176796,80.50708046,3,3
108,13.761643835616438,91.77973589,3,3
112,17.592178770949722,68.74191454000001,1,2
113,17.34054794520548,68.74191454000001,1,2
