distrito,temperatura,superficie_ha
ARGANZUELA,17.376659485386774,0.0
BARAJAS,14.79396551724138,22.243242509999998
CARABANCHEL,16.633046939210374,29.14013404
CENTRO,16.783928992965393,0.0
CHAMARTIN,16.81700288184438,0.0
CHAMBERI,16.88773828411755,0.0
CIUDAD LINEAL,,15.92480262
FUENCARRAL-EL PARDO,14.196712328767124,91.77973589
HORTALEZA,13.832872928176796,80.50708046
MONCLOA-ARAVACA,14.946014566112682,60.12146035
MORATALAZ,14.425479452054795,10.24690414
PUENTE DE VALLECAS,13.78526787974404,68.74191454000001
SALAMANCA,15.919770773638968,0.2406400183
VILLA DE VALLECAS,16.216438356164385,63.49223204
VILLAVERDE,13.711602209944752,40.64140133
