estacion,no2,kmeans_k5,jerarquico_k5
4,39.855555555555554,0,5
8,51.51289398280802,1,3
11,39.25753424657534,0,5
16,34.28767123287671,3,4
17,39.15934065934066,0,5
18,32.49030470914128,3,4
24,20.484931506849314,2,2
27,35.608219178082194,0,5
35,36.18156424581006,0,5
36,35.92857142857143,0,5
38,38.3323782234957,0,5
39,35.747252747252745,0,5
40,35.9041095890411,0,5
47,33.73728813559322,3,4
48,34.07671232876712,3,4
49,24.846575342465755,4,1
50,36.81917808219178,0,5
54,36.83287671232877,0,5
55,37.964285714285715,0,5
56,53.42382271468144,1,3
57,31.187150837988828,3,4
58,15.835616438356164,2,2
59,25.939655172413794,4,1
60,25.115384615384617,4,1
