,temperatura,altitud,kmeans_k4,jerarquico_k4
4,16.783835616438356,637,0,2
8,17.223415977961434,672,0,3
16,16.94630136986301,695,0,3
18,17.228925619834712,625,1,2
24,15.84388888888889,645,0,3
35,18.042953020134227,660,0,3
36,16.306301369863014,671,0,3
38,16.873684210526314,699,0,3
39,16.939226519337016,675,0,3
54,16.823076923076925,628,1,2
56,17.06821917808219,605,1,2
58,15.041483516483517,611,3,1
59,15.938292011019286,660,0,3
102,13.517534246575341,686,0,3
103,13.989835164835165,595,3,1
106,13.41047619047619,586,3,1
107,14.221246458923513,706,0,3
108,14.505753424657534,659,0,3
109,8.118681318681318,681,2,4
110,16.91983002832861,645,0,2
111,17.04673202614379,703,0,3
112,17.596944444444443,607,1,2
113,18.203254437869823,607,1,2
114,17.364245810055866,571,1,2
115,18.833893557422968,571,1,2
