estacion,no2,kmeans_k5,jerarquico_k5
4,28.13736263736264,0,4
8,32.66483516483517,4,3
11,29.622149837133552,4,5
16,27.233516483516482,0,4
17,36.519444444444446,2,3
18,27.082872928176794,0,4
24,16.0,3,1
27,33.43801652892562,2,3
35,31.02482269503546,4,5
36,29.099447513812155,0,5
38,29.274725274725274,0,5
39,28.113573407202217,0,4
40,30.424657534246574,4,5
47,28.041208791208792,0,4
48,28.81095890410959,0,5
49,20.274509803921568,1,2
50,30.378082191780823,4,5
54,29.96418732782369,4,5
55,28.933701657458563,0,5
56,36.12602739726027,2,3
57,23.91160220994475,1,2
58,13.14404432132964,3,1
59,21.80225988700565,1,2
60,20.849431818181817,1,2
