estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,17.223415977961434,54.66942148760331,1,1
16,16.94630136986301,56.06629834254144,3,1
24,15.84388888888889,58.68888888888889,3,4
35,18.042953020134227,48.875838926174495,1,2
36,16.306301369863014,55.945205479452056,3,1
38,16.873684210526314,53.37396121883656,1,1
39,16.939226519337016,59.977715877437326,3,4
54,16.823076923076925,54.14835164835165,1,1
56,17.06821917808219,60.14520547945205,3,4
58,15.041483516483517,62.29120879120879,0,4
59,15.938292011019286,61.08815426997245,3,4
102,13.517534246575341,52.775342465753425,4,3
103,13.989835164835165,54.895604395604394,4,3
106,13.41047619047619,62.94603174603174,0,4
107,14.221246458923513,54.95156695156695,4,3
108,14.505753424657534,50.73424657534247,4,3
109,8.118681318681318,27.477678571428573,2,5
110,16.91983002832861,53.388101983002834,1,1
111,17.04673202614379,50.33660130718954,1,2
112,17.596944444444443,51.7,1,2
113,18.203254437869823,51.0,1,2
114,17.364245810055866,54.12849162011173,1,1
115,18.833893557422968,50.76470588235294,1,2
