distrito,temperatura,superficie_ha
ARGANZUELA,18.099069683739415,3.22
BARAJAS,15.938292011019286,17.33
CARABANCHEL,17.14857239895845,26.29
CENTRO,17.48139152423142,0.0
CHAMARTIN,17.04673202614379,0.0
CHAMBERI,12.496182764603816,0.0
CIUDAD LINEAL,16.94630136986301,14.57
FUENCARRAL-EL PARDO,15.495487820159354,96.64
HORTALEZA,14.221246458923513,53.51
MONCLOA-ARAVACA,15.346066898601146,59.85
MORATALAZ,14.911917808219178,10.25
PUENTE DE VALLECAS,17.90009944115713,78.62
SALAMANCA,17.223415977961434,0.24
VILLA DE VALLECAS,16.823076923076925,94.29
VILLAVERDE,13.989835164835165,43.1
