,temperatura,altitud,kmeans_k4,jerarquico_k4
4,19.989208633093526,637,0,3
8,17.709695290858726,672,2,2
16,13.660456273764257,695,1,2
18,16.948033707865168,625,3,4
24,16.261878453038676,645,1,2
35,18.131024930747923,660,2,2
36,16.76798866855524,671,1,2
38,17.383287671232875,699,2,2
39,17.311780821917807,675,2,2
54,17.089226519337018,628,3,4
56,17.06904109589041,605,3,4
58,16.013333333333332,611,3,4
59,16.23939393939394,660,1,2
102,15.05,686,1,2
103,15.477064220183486,595,3,4
106,12.968992248062015,586,3,4
107,15.265333333333333,706,1,2
108,16.74375,659,1,2
109,19.383944954128438,681,2,1
110,15.021238938053099,645,1,2
111,20.951127819548873,703,2,1
112,16.79375,607,3,4
113,19.355607476635516,607,0,3
114,20.381702127659572,571,0,3
115,18.96680672268908,571,0,3
