,temperatura,superficie_relativa,kmeans_k4,jerarquico_k4
4,19.989208633093526,0.012842652421405521,2,2
8,17.709695290858726,0.0004450705021880642,0,4
16,13.660456273764257,0.01297078392426436,3,3
18,16.948033707865168,0.01730456544840125,0,4
24,16.261878453038676,0.012842652421405521,0,4
36,16.76798866855524,0.016794557208060504,0,4
39,17.311780821917807,0.003990947340252049,0,4
54,17.089226519337018,0.01834059064558877,0,4
56,17.06904109589041,0.01730456544840125,0,4
58,16.013333333333332,0.003990947340252049,0,4
59,16.23939393939394,0.004873389806168073,0,4
102,15.05,0.016794557208060504,3,4
103,15.477064220183486,0.019817450722716196,3,4
106,12.968992248062015,0.012842652421405521,3,3
107,15.265333333333333,0.027515944134096863,3,4
108,16.74375,0.003990947340252049,0,4
112,16.79375,0.05245645497961657,1,1
113,19.355607476635516,0.05245645497961657,1,1
114,20.381702127659572,0.0049828417592269,2,2
115,18.96680672268908,0.0049828417592269,2,2
