estacion,no2,kmeans_k5,jerarquico_k5
4,24.77338129496403,4,5
8,34.27945205479452,3,2
11,30.895890410958906,1,2
16,29.73384030418251,1,1
17,35.222527472527474,3,2
18,28.04931506849315,4,1
24,17.226519337016576,2,4
27,30.214876033057852,1,1
35,31.300275482093664,1,2
36,28.773371104815865,1,1
38,29.687671232876713,1,1
39,28.002762430939228,4,1
40,30.65753424657534,1,2
47,28.875,1,1
48,27.115384615384617,4,1
49,22.366666666666667,0,5
50,32.60497237569061,1,2
54,29.12912087912088,1,1
55,31.366946778711483,1,2
56,39.81917808219178,3,3
57,25.50958904109589,4,5
58,14.43013698630137,2,4
59,21.123287671232877,0,5
60,26.06027397260274,4,5
