estacion,temperatura,humedad_rel,kmeans_k5,jerarquico_k5
8,17.709695290858726,53.75069252077562,4,4
16,13.660456273764257,62.9277566539924,3,3
24,16.261878453038676,58.67403314917127,2,5
35,18.131024930747923,51.9196675900277,4,4
36,16.76798866855524,57.186968838526916,2,5
38,17.383287671232875,52.95616438356164,4,4
39,17.311780821917807,60.057534246575344,2,5
54,17.089226519337018,53.790055248618785,4,4
56,17.06904109589041,58.772602739726025,2,5
58,16.013333333333332,62.50410958904109,2,5
59,16.23939393939394,59.43801652892562,2,5
102,15.05,45.721739130434784,0,2
103,15.477064220183486,47.60091743119266,0,2
106,12.968992248062015,58.87692307692308,3,3
107,15.265333333333333,48.90222222222222,0,2
108,16.74375,41.71634615384615,0,2
109,19.383944954128438,35.12621359223301,1,1
110,15.021238938053099,52.283185840707965,0,2
111,20.951127819548873,43.932330827067666,1,1
112,16.79375,47.125,0,2
113,19.355607476635516,44.21495327102804,1,1
114,20.381702127659572,43.98297872340426,1,1
115,18.96680672268908,47.02100840336134,1,1
