estacion,vel_viento,dir_viento,temperatura,humedad_rel,presion,rad_solar,precipitacion,kmeans_k4,jerarquico_k4
24,1.458425414364641,77.44198895027624,16.261878453038676,58.67403314917127,949.2865168539325,192.04696132596686,1.0441988950276244,1,1
59,1.1764187327823692,47.11570247933884,16.23939393939394,59.43801652892562,940.2947658402204,193.3443526170799,1.0735537190082645,1,1
102,2.138304347826087,97.71739130434783,15.05,45.721739130434784,941.3652173913043,240.97826086956522,0.7526086956521739,3,3
103,1.4659817351598174,74.69406392694064,15.477064220183486,47.60091743119266,949.697247706422,243.32110091743118,0.8059360730593608,0,2
106,1.0825185185185184,57.91970802919708,12.968992248062015,58.87692307692308,950.4632352941177,229.49264705882354,0.602919708029197,2,4
107,1.2183555555555556,52.45333333333333,15.265333333333333,48.90222222222222,940.7866666666666,238.99555555555557,0.6911111111111111,0,2
108,1.1336538461538461,91.27403846153847,16.74375,41.71634615384615,942.9468599033817,246.63942307692307,0.762621359223301,0,2
